C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,D
1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,1
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,1
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,4
1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,1
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,1
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,1
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,1
0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4,4
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,4
1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,1,1
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,1
0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,2
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,4
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,7
0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7,7
0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7,7
0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,2
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,1
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,4
0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1
0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,2
0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2,2
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,1
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2,2
0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6,6
0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5,5
0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,5,5
1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1,1
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,1
1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1,1
0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,6
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,1
1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1,1
0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,2
0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,4
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1,1
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1,1
0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,2
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,4
1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,6,6
1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,6
0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2,2
0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6,6
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,2
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,1
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,1
0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7,7
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,1
1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1,1
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1,1
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,1
1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,6
0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5,5
0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7,7
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1,1
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,1
0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2,2
0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,2
0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2,2
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,2
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,4
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,4
0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3,3
1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1,2
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,1
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,1
0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,1
1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1,1
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,1
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,1
0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,2,2
0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,7,7
0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,4
1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1
1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,1,1
0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,3,3
0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,7,7
0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,2
0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,2
0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3,3
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,7
0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,4
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,2
1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1,1
0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,7,7
0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,4,4
0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2,2
0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6,6
0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5,5
0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3,3
0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3,3
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,4
1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1,1
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1,1
0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2,2
1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1,1
1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6,6
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,1
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,7
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,2